회차,소방서,start,goal,meeting,u_x,u_y,v_x,v_y,forward_time,backward_time,총비용,총시간(분),경로노드수,정방향경로,역방향경로
26,서대문소방서 북아현119안전센터,7257925078,9282595674,9283051974,126.9563562,37.5602839,126.9276476,37.558327,482.32,458,482.32,8.04,55,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 9283051969 → 9283051974,9283051974 → 9283051975 → 9283051950 → 3309834978 → 3309834974 → 3743639309 → 3648703825 → 4590190141 → 3743639280 → 3743639283 → 3743639274 → 3743639275 → 3743639271 → 3743639270 → 3743639265 → 9282595674
27,공덕119안전센터,2330782485,9800448854,3352634076,126.9594634,37.5500041,126.9641034,37.5620474,615.88,651,651,10.85,30,2330782485 → 3352620587 → 8383046649 → 3352633633 → 4593817590 → 4593817591 → 4593791017 → 4593791014 → 4593779252 → 2451940805 → 4593779251 → 3352633956 → 3352633975 → 4593779244 → 4593779240 → 4593779238 → 4593766429 → 4593766430 → 11703439232 → 3893042410 → 3352634076,3352634076 → 3352634085 → 3352634130 → 5863307835 → 8483288493 → 436854106 → 5863307834 → 3893042379 → 5863307810 → 9800448854
28,서대문소방서 북아현119안전센터,7257925078,9283051956,11080341314,126.9563562,37.5602839,126.9352652,37.5555933,532.15,529,532.15,8.87,54,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 436718687 → 11080341314,11080341314 → 11080341315 → 9283138074 → 9283138073 → 9283138095 → 9283138094 → 4121393430 → 4590191568 → 3743639378 → 4552468315 → 4552468316 → 3743639342 → 4590204408 → 3743639349 → 3743639350 → 3743639353 → 3743639334 → 3743639333 → 3309834359 → 3309834964 → 9283051955 → 9283051956
29,서대문소방서119구조대,3825310652,3436120294,5076887888,126.9347477,37.5716165,126.9248164,37.5577527,380.6,434,434,7.23,43,3825310652 → 2532346015 → 1912549265 → 3825310381 → 6807582095 → 3825310361 → 436873059 → 3825310135 → 4590010867 → 4590010868 → 3825310056 → 3825310054 → 3785058070 → 2532403770 → 3825309970 → 3785058057 → 3785057948 → 3785057934 → 3825309611 → 4589998394 → 3825309343 → 3825309277 → 4588152156 → 3798890932 → 3678120988 → 4590085411 → 3742400196 → 3742400186 → 5076887888,5076887888 → 3742400209 → 3742400212 → 3742400205 → 3742400201 → 4674668607 → 3742385732 → 3742385731 → 2473255265 → 3742353032 → 2473255261 → 2956988738 → 9282393215 → 9282393213 → 3436120294
30,서대문소방서 북아현119안전센터,7257925078,9301802435,9283138056,126.9563562,37.5602839,126.9265985,37.5587746,333.54,382,382,6.37,52,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056,9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 3309835004 → 2473261142 → 4590181165 → 3743710007 → 4590174137 → 7069047606 → 7069047605 → 7069047604 → 7069047603 → 9282595673 → 9282422519 → 9301802433 → 9301802434 → 9301802435
31,서대문소방서 북아현119안전센터,7257925078,9283138063,2451940820,126.9563562,37.5602839,126.9389425,37.5556549,522.46,526,526,8.77,55,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 11689066418 → 436718711 → 436825413 → 2329648814 → 436825408 → 4591461862 → 4591461863 → 2329648813 → 4591488583 → 3351589657 → 3351589656 → 4591442595 → 3351589633 → 4591432393 → 2329648810 → 3351589627 → 3351589625 → 4591488796 → 2451940820,2451940820 → 2329648872 → 2451940816 → 2329648875 → 8385742988 → 3351589526 → 2329648822 → 4591432394 → 2451940793 → 7966875819 → 2330771333 → 2451940802 → 8385741221 → 3339311193 → 3864845909 → 3864845913 → 2330771431 → 2330771444 → 3309834972 → 3309834969 → 8481414781 → 2330771440 → 9283138063
32,서대문소방서 북아현119안전센터,7257925078,9283138070,2451940830,126.9563562,37.5602839,126.9380916,37.5555644,247.04,301,301,5.02,35,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 4591827918 → 2451940830,2451940830 → 4591827918 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070
33,서대문소방서 북아현119안전센터,7257925078,9283051959,8478359170,126.9563562,37.5602839,126.9332363,37.5564213,285.1,321,321,5.35,38,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 8478359170,8478359170 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959
34,서대문소방서 북아현119안전센터,7257925078,9301802434,9283138056,126.9563562,37.5602839,126.9267144,37.5587716,333.54,380,380,6.33,51,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056,9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 3309835004 → 2473261142 → 4590181165 → 3743710007 → 4590174137 → 7069047606 → 7069047605 → 7069047604 → 7069047603 → 9282595673 → 9282422519 → 9301802433 → 9301802434
35,서대문소방서 북아현119안전센터,7257925078,9283138063,2451940820,126.9563562,37.5602839,126.9389425,37.5556549,522.46,526,526,8.77,55,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 11689066418 → 436718711 → 436825413 → 2329648814 → 436825408 → 4591461862 → 4591461863 → 2329648813 → 4591488583 → 3351589657 → 3351589656 → 4591442595 → 3351589633 → 4591432393 → 2329648810 → 3351589627 → 3351589625 → 4591488796 → 2451940820,2451940820 → 2329648872 → 2451940816 → 2329648875 → 8385742988 → 3351589526 → 2329648822 → 4591432394 → 2451940793 → 7966875819 → 2330771333 → 2451940802 → 8385741221 → 3339311193 → 3864845909 → 3864845913 → 2330771431 → 2330771444 → 3309834972 → 3309834969 → 8481414781 → 2330771440 → 9283138063
36,서대문소방서 북아현119안전센터,7257925078,9301802433,9283138056,126.9563562,37.5602839,126.926833,37.5587589,333.54,378,378,6.3,50,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056,9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 3309835004 → 2473261142 → 4590181165 → 3743710007 → 4590174137 → 7069047606 → 7069047605 → 7069047604 → 7069047603 → 9282595673 → 9282422519 → 9301802433
37,서대문소방서 북아현119안전센터,7257925078,3648333425,4591827921,126.9563562,37.5602839,126.9553201,37.5574323,122.48,87,122.48,2.04,16,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921,4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425
38,서대문소방서 북아현119안전센터,7257925078,5863307819,4592858367,126.9563562,37.5602839,126.9621003,37.5593288,491.32,538,538,8.97,29,7257925078 → 2330771492 → 4591859926 → 4591816229 → 4591859931 → 4591859930 → 4591859937 → 4591859911 → 4591859902 → 4591859900 → 4591859892 → 4591859895 → 4591859899 → 2451940974 → 4591851784 → 4591851787 → 2451940962 → 2451940953 → 4592872166 → 4592872158 → 4592872160 → 4592858361 → 9814056505 → 4592858367,4592858367 → 5863307797 → 12234342189 → 12234342185 → 7068970600 → 5863307819
39,서대문소방서 북아현119안전센터,7257925078,4505415665,9283138056,126.9563562,37.5602839,126.926027,37.5586546,333.54,391,391,6.52,53,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056,9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 3309835004 → 2473261142 → 4590181165 → 3743710007 → 4590174137 → 7069047606 → 7069047605 → 7069047604 → 7069047603 → 9282595673 → 9282422519 → 9301802433 → 9301802434 → 9301802435 → 4505415665
40,서대문소방서 북아현119안전센터,7257925078,9283138068,2329648772,126.9563562,37.5602839,126.9378309,37.5554826,190.99,233,233,3.88,32,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772,2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068
41,서대문소방서 북아현119안전센터,7257925078,9283138063,2451940820,126.9563562,37.5602839,126.9389425,37.5556549,522.46,526,526,8.77,55,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 11689066418 → 436718711 → 436825413 → 2329648814 → 436825408 → 4591461862 → 4591461863 → 2329648813 → 4591488583 → 3351589657 → 3351589656 → 4591442595 → 3351589633 → 4591432393 → 2329648810 → 3351589627 → 3351589625 → 4591488796 → 2451940820,2451940820 → 2329648872 → 2451940816 → 2329648875 → 8385742988 → 3351589526 → 2329648822 → 4591432394 → 2451940793 → 7966875819 → 2330771333 → 2451940802 → 8385741221 → 3339311193 → 3864845909 → 3864845913 → 2330771431 → 2330771444 → 3309834972 → 3309834969 → 8481414781 → 2330771440 → 9283138063
42,서대문소방서 북아현119안전센터,7257925078,9282595674,9283051974,126.9563562,37.5602839,126.9276476,37.558327,482.32,458,482.32,8.04,55,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 9283051969 → 9283051974,9283051974 → 9283051975 → 9283051950 → 3309834978 → 3309834974 → 3743639309 → 3648703825 → 4590190141 → 3743639280 → 3743639283 → 3743639274 → 3743639275 → 3743639271 → 3743639270 → 3743639265 → 9282595674
43,서대문소방서 북아현119안전센터,7257925078,9283138055,2451940830,126.9563562,37.5602839,126.9388627,37.5558064,247.04,291,291,4.85,34,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 4591827918 → 2451940830,2451940830 → 4591827918 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055
44,마포소방서 119구조대,8477574118,3034284276,4658609956,126.9329263,37.5497833,126.9227695,37.5560086,568.13,527,568.13,9.47,23,8477574118 → 414685256 → 8477568355 → 6048920041 → 6048920038 → 4591702787 → 436874458 → 436859638 → 9379611610 → 2775071304 → 2421606544 → 4658609956,4658609956 → 2421606544 → 1800585176 → 1830388306 → 3139492445 → 4927966759 → 3139492438 → 3139492472 → 3139492465 → 4927966771 → 631756001 → 3034284276
45,서대문소방서 북아현119안전센터,7257925078,8482716297,436825413,126.9563562,37.5602839,126.9484584,37.5568662,309.32,348,348,5.8,35,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 11689066418 → 436718711 → 436825413,436825413 → 2329648814 → 436825408 → 4591461862 → 4591461863 → 2329648813 → 4591488583 → 3351589657 → 3351589656 → 4591442595 → 3351589633 → 4591432393 → 2329648810 → 3351589627 → 3351589625 → 4591488796 → 3351589622 → 8482716303 → 8482716297
46,서대문소방서 북아현119안전센터,7257925078,7069047605,9283138047,126.9563562,37.5602839,126.9301397,37.5575548,307.94,342,342,5.7,45,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047,9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 3309835004 → 2473261142 → 4590181165 → 3743710007 → 4590174137 → 7069047606 → 7069047605
47,서대문소방서 북아현119안전센터,7257925078,11689066396,9283138058,126.9563562,37.5602839,126.936995,37.5550864,313.48,365,365,6.08,33,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058,9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 436718687 → 11689066396
48,서대문소방서 북아현119안전센터,7257925078,9283138047,4591816222,126.9563562,37.5602839,126.9429101,37.5566748,157.78,217,217,3.62,26,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222,4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047
49,서대문소방서 북아현119안전센터,7257925078,9283051956,11080341314,126.9563562,37.5602839,126.9352652,37.5555933,532.15,529,532.15,8.87,54,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 436718687 → 11080341314,11080341314 → 11080341315 → 9283138074 → 9283138073 → 9283138095 → 9283138094 → 4121393430 → 4590191568 → 3743639378 → 4552468315 → 4552468316 → 3743639342 → 4590204408 → 3743639349 → 3743639350 → 3743639353 → 3743639334 → 3743639333 → 3309834359 → 3309834964 → 9283051955 → 9283051956
50,서대문소방서 북아현119안전센터,7257925078,9282595674,9283051974,126.9563562,37.5602839,126.9276476,37.558327,482.32,458,482.32,8.04,55,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 9283051969 → 9283051974,9283051974 → 9283051975 → 9283051950 → 3309834978 → 3309834974 → 3743639309 → 3648703825 → 4590190141 → 3743639280 → 3743639283 → 3743639274 → 3743639275 → 3743639271 → 3743639270 → 3743639265 → 9282595674
