trial,station,u,v,meeting_node,u_x,u_y,v_x,v_y,forward_time,backward_time,total_cost,total_time_min,path_length,forward_path,backward_path,duration,duration_bus,duration_ambulance,bus_diff,ambulance_diff,bus_saving_percent,ambulance_saving_percent
1,서대문소방서119구조대,3825310652.0,3785057930.0,436873059.0,126.9347477,37.5716165,126.928323,37.56642,54.88,66.0,66.0,1.1,18.0,3825310652 → 2532346015 → 1912549265 → 3825310381 → 6807582095 → 3825310361 → 436873059,436873059 → 3825310135 → 4590010867 → 4590010868 → 3825310056 → 3825310054 → 3785058070 → 2532403770 → 3825309970 → 3785058057 → 3785057948 → 3785057930,279.0,4.65,3.2177999999999995,3.5500000000000003,2.1177999999999995,76.34408602150538,65.81515321026788
2,마포소방서 119구조대,8477574118.0,9958232723.0,2330771472.0,126.9329263,37.5497833,126.9383627,37.5501408,90.79,144.6,144.6,2.41,13.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716540 → 2330771472,2330771472 → 9958202194 → 9958232717 → 9958232723,356.0,5.933333333333334,4.1058666666666666,3.5233333333333334,1.6958666666666664,59.38202247191011,41.30350068195102
3,공덕119안전센터,2330782485.0,3352634085.0,2329648967.0,126.9594634,37.5500041,126.9627895,37.5584059,75.77,135.7,135.7,2.26,17.0,2330782485 → 3352620587 → 8383046649 → 3352633633 → 4593817590 → 2451940779 → 4593791021 → 4656545971 → 2329648967,2329648967 → 2329648966 → 4656545972 → 8383098864 → 5863307814 → 5863307816 → 5863307818 → 3352634130 → 3352634085,456.0,7.6,5.259199999999999,5.34,2.999199999999999,70.26315789473684,57.02768481898387
4,서대문소방서 북아현119안전센터,7257925078.0,3864845815.0,9283138043.0,126.9563562,37.5602839,126.9390041,37.5580644,125.6,185.5,185.5,3.09,41.0,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043,9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 2930467407 → 3309834973 → 3864845795 → 4591044475 → 3864845789 → 3309835032 → 3864845815,347.0,5.783333333333333,4.002066666666667,2.6933333333333334,0.912066666666667,46.570605187319885,22.789891889190592
5,마포소방서 119구조대,8477574118.0,3139492472.0,436859638.0,126.9329263,37.5497833,126.9251578,37.5562513,130.58,179.9,179.9,3.0,17.0,8477574118 → 414685256 → 8477568355 → 6048920041 → 6048920038 → 4591702787 → 436874458 → 436859638,436859638 → 9379611610 → 2775071304 → 2421606544 → 1800585176 → 1830388306 → 3139492445 → 4927966759 → 3139492438 → 3139492472,356.0,5.933333333333334,4.1058666666666666,2.9333333333333336,1.1058666666666666,49.438202247191015,26.933818276287585
6,공덕119안전센터,2330782485.0,2451940655.0,8385802681.0,126.9594634,37.5500041,126.9536675,37.5464659,51.42,36.5,51.42,0.86,10.0,2330782485 → 2330782481 → 4595156238 → 2330782529 → 8385802681,8385802681 → 2330782528 → 4593834204 → 2451940652 → 4593833810 → 2451940655,430.0,7.166666666666667,4.959333333333333,6.306666666666667,4.099333333333333,88.0,82.65895953757226
7,마포소방서 119구조대,8477574118.0,3490390994.0,2329648995.0,126.9329263,37.5497833,126.9229429,37.5462558,140.61,194.6,194.6,3.24,16.0,8477574118 → 4591663752 → 4591663738 → 8477575614 → 8477575613 → 6048920026 → 6048920028 → 6048920023 → 2329648995,2329648995 → 2329648999 → 3110451757 → 3869599546 → 436835481 → 3869600357 → 2329649021 → 3490390994,293.0,4.883333333333334,3.379266666666666,1.6433333333333335,0.13926666666666598,33.6518771331058,4.1212097299216595
8,서대문소방서 북아현119안전센터,7257925078.0,4592891796.0,2451941009.0,126.9563562,37.5602839,126.9606123,37.569983,194.66,248.6,248.6,4.14,34.0,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940933 → 2330771537 → 4056370646 → 4056370648 → 4056367770 → 436848861 → 2451940971 → 4056367775 → 2451940978 → 2451940979 → 4591795452 → 2451940993 → 4056367788 → 2451941011 → 2451941006 → 2451940996 → 2451940989 → 4591904332 → 2451941009,2451941009 → 2451941023 → 4591880007 → 4591880010 → 4591880003 → 4591880011 → 2451941048 → 2451941052 → 4592891808 → 4591888037 → 4592891796,339.0,5.65,3.9097999999999997,1.5100000000000007,-0.23019999999999996,26.725663716814168,-5.88776919535526
9,마포소방서 119구조대,8477574118.0,4591432394.0,9946440068.0,126.9329263,37.5497833,126.9459004,37.5543899,165.04,160.4,165.04,2.75,19.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716537 → 4591716541 → 2451940711 → 436805774 → 9946440068,9946440068 → 436853677 → 8477807829 → 436835433 → 7298467871 → 4591432395 → 4591432394,477.0,7.95,5.5014,5.2,2.7514000000000003,65.40880503144653,50.012724033882286
10,서대문소방서 북아현119안전센터,7257925078.0,3076247462.0,2147528590.0,126.9563562,37.5602839,126.9471776,37.5716711,104.01,162.0,162.0,2.7,25.0,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940933 → 2330771537 → 4056370646 → 4056370648 → 4056367770 → 436848861 → 436848862 → 2451940973 → 436848863 → 2451940988 → 3648412325 → 2147528582 → 3339450993 → 2147528590,2147528590 → 7225316107 → 2147528569 → 12587045401 → 12587045332 → 7225316080 → 3076247462,269.0,4.483333333333333,3.1024666666666665,1.7833333333333332,0.4024666666666663,39.776951672862445,12.972473515697178
11,서대문소방서119구조대,3825310652.0,3825310099.0,3825310304.0,126.9347477,37.5716165,126.9347179,37.5688878,62.07,113.2,113.2,1.89,8.0,3825310652 → 2532346015 → 1912549265 → 3825310381 → 3825310304,3825310304 → 3825310276 → 3825310259 → 3825310099,145.0,2.4166666666666665,1.6723333333333332,0.5266666666666666,-0.21766666666666667,21.79310344827586,-13.015746462029101
12,서대문소방서 북아현119안전센터,7257925078.0,3618644427.0,9283138045.0,126.9563562,37.5602839,126.9372496,37.5576694,135.63,173.7,173.7,2.9,43.0,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045,9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 2930467407 → 3309834973 → 3864845795 → 4591044475 → 3864845789 → 3310757830 → 3618648887 → 3618648886 → 3618644427,531.0,8.85,6.1242,5.949999999999999,3.2242,67.23163841807909,52.6468763267039
13,마포소방서 119구조대,8477574118.0,9379611610.0,6048920041.0,126.9329263,37.5497833,126.9320563,37.5534516,75.15,97.1,97.1,1.62,9.0,8477574118 → 414685256 → 8477568355 → 6048920041,6048920041 → 6048920038 → 4591702787 → 436874458 → 436859638 → 9379611610,194.0,3.2333333333333334,2.2374666666666667,1.6133333333333333,0.6174666666666666,49.896907216494846,27.596686729038787
14,서대문소방서 북아현119안전센터,7257925078.0,3351589545.0,436825413.0,126.9563562,37.5602839,126.9514573,37.5549416,117.43,119.1,119.1,1.98,30.0,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 11689066418 → 436718711 → 436825413,436825413 → 2329648814 → 436825408 → 4591461862 → 4591461863 → 2451940823 → 3351589601 → 4591461848 → 2329648865 → 4593447213 → 3351589557 → 3351589545,101.0,1.6833333333333333,1.1648666666666665,-0.29666666666666663,-0.8151333333333335,-17.62376237623762,-69.97653522577694
15,마포소방서 119구조대,8477574118.0,3081349434.0,5104926206.0,126.9329263,37.5497833,126.9361008,37.5464062,127.6,92.5,127.6,2.13,23.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716537 → 4591716541 → 2451940711 → 5104927724 → 5104927725 → 5104926206,5104926206 → 5104926207 → 5104926209 → 3868066626 → 3081352533 → 5338321810 → 5338321816 → 3868066562 → 3868066450 → 3081349434,340.0,5.666666666666667,3.9213333333333327,3.536666666666667,1.7913333333333328,62.411764705882355,45.68174090445426
16,마포소방서 119구조대,8477574118.0,3309834968.0,4632067413.0,126.9329263,37.5497833,126.9326686,37.5556083,156.12,168.5,168.5,2.81,39.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716540 → 2330771472 → 2330771469 → 4632077004 → 4632072866 → 4639550704 → 4632072867 → 4421755486 → 4632067413,4632067413 → 9283138089 → 5887231074 → 9944378196 → 9283138074 → 9283138073 → 9283138095 → 9283138094 → 4121393430 → 4590191568 → 3743639378 → 4552468315 → 4552468316 → 3743639342 → 4590204408 → 3743639347 → 3743639340 → 4590204409 → 3743639337 → 4590191560 → 3743639324 → 3743639326 → 3309834968,340.0,5.666666666666667,3.9213333333333327,2.856666666666667,1.1113333333333326,50.411764705882355,28.340700442026506
17,서대문소방서 북아현119안전센터,7257925078.0,4056368589.0,4056370648.0,126.9563562,37.5602839,126.9532371,37.5657287,61.86,68.5,68.5,1.14,19.0,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940933 → 2330771537 → 4056370646 → 4056370648,4056370648 → 4056367770 → 436848861 → 2451940971 → 4056367775 → 2451940978 → 2451940979 → 4591795452 → 2451940993 → 4056367788 → 4056368589,176.0,2.933333333333333,2.0298666666666665,1.7933333333333332,0.8898666666666666,61.13636363636363,43.838675775091964
18,서대문소방서 북아현119안전센터,7257925078.0,7069018256.0,4591828308.0,126.9563562,37.5602839,126.945855,37.5568247,57.09,83.0,83.0,1.38,25.0,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308,4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256,538.0,8.966666666666667,6.204933333333333,7.586666666666667,4.824933333333333,84.6096654275093,77.75963212067816
19,마포소방서 119구조대,8477574118.0,2330771437.0,9958232717.0,126.9329263,37.5497833,126.9376357,37.5543061,151.2,173.2,173.2,2.89,16.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716540 → 2330771472 → 9958202194 → 9958232717,9958232717 → 9958232723 → 436853694 → 436853695 → 2330771437,153.0,2.55,1.7646,-0.3400000000000003,-1.1254000000000002,-13.333333333333346,-63.77649325626206
20,공덕119안전센터,2330782485.0,2451940779.0,3352633633.0,126.9594634,37.5500041,126.9596946,37.5537502,25.53,46.6,46.6,0.78,6.0,2330782485 → 3352620587 → 8383046649 → 3352633633,3352633633 → 4593817590 → 2451940779,264.0,4.4,3.0448,3.62,2.2648,82.27272727272727,74.38255386232265
21,서대문소방서 북아현119안전센터,7257925078.0,2473262339.0,9283138043.0,126.9563562,37.5602839,126.9306129,37.5603401,125.6,163.0,163.0,2.72,50.0,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043,9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 3309835004 → 2473261142 → 4590181165 → 3743710000 → 2473264191 → 4590174136 → 3743710017 → 2473262330 → 3743710018 → 2473262339,669.0,11.15,7.7158,8.43,4.995799999999999,75.60538116591927,64.74766064439201
22,서대문소방서 북아현119안전센터,7257925078.0,4591883788.0,4591851787.0,126.9563562,37.5602839,126.9594713,37.5670525,124.08,167.5,167.5,2.79,28.0,7257925078 → 2330771492 → 4591859926 → 4591816229 → 4591859931 → 4591859930 → 4591859937 → 2451940956 → 2330771540 → 4591859892 → 4591859895 → 4591859899 → 2451940974 → 4591851784 → 4591851787,4591851787 → 2451940962 → 2451940953 → 4592872166 → 4592872158 → 2330771575 → 3967108622 → 2451941002 → 2451941022 → 4591873257 → 4591880012 → 4591880013 → 4591885191 → 4591883788,372.0,6.2,4.2904,3.41,1.5004,55.00000000000001,34.97109826589595
23,서대문소방서119구조대,3825310652.0,3785058068.0,3825310381.0,126.9347477,37.5716165,126.930959,37.5681405,33.42,56.4,56.4,0.94,7.0,3825310652 → 2532346015 → 1912549265 → 3825310381,3825310381 → 436837191 → 3825310104 → 3785058068,177.0,2.95,2.0414,2.0100000000000002,1.1014,68.13559322033899,53.953169393553445
24,마포소방서 119구조대,8477574118.0,3868066611.0,2451940711.0,126.9329263,37.5497833,126.9381523,37.5473109,103.59,96.9,103.59,1.73,18.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716537 → 4591716541 → 2451940711,2451940711 → 5104927724 → 5104927725 → 5104926206 → 5104926207 → 5104926209 → 3868066626 → 3868066611,235.0,3.9166666666666665,2.710333333333333,2.1866666666666665,0.9803333333333328,55.82978723404255,36.17021276595744
25,서대문소방서 북아현119안전센터,7257925078.0,3864845785.0,3310757863.0,126.9563562,37.5602839,126.9420978,37.5584838,74.74,121.1,121.1,2.02,21.0,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940919 → 2451940901 → 7967031733 → 4591767518 → 8385791616 → 2961215633 → 3310757863,3310757863 → 3310757862 → 4591742672 → 3309835058 → 3309835043 → 3864845836 → 2329648802 → 2329648803 → 4591072441 → 3864845785,223.0,3.716666666666667,2.5719333333333334,1.6966666666666668,0.5519333333333334,45.65022421524664,21.459861582726354
