trial,station,u,v,meeting_node,u_x,u_y,v_x,v_y,forward_time,backward_time,total_cost,total_risk,total_score,total_time_min,path_length,forward_path,backward_path,duration,duration_bus,duration_ambulance,bus_diff,ambulance_diff,bus_saving_percent,ambulance_saving_percent
26,서대문소방서 북아현119안전센터,7257925078,8482703424,4591827921,126.9563562,37.5602839,126.9560074,37.5574766,50.52,44.3,50.52,3.53,36.42,0.84,17,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921,8482703424 → 1936511359 → 8478359173 → 2451940827 → 4591816222 → 4591828305 → 4591832828 → 4591828308 → 3893042382 → 4591827921,162,2.7,1.8683999999999998,1.8600000000000003,1.0284,68.8888888888889,55.04174694926141
27,마포소방서 119구조대,8477574118,9283051946,3648703726,126.9329263,37.5497833,126.9310175,37.5570803,180.61,228.5,228.5,7.92,162.33,3.81,22,8477574118 → 414685256 → 8477568355 → 6048920041 → 6048920038 → 4591702787 → 436874458 → 436859638 → 9379611610 → 2775071304 → 2421606544 → 3648703726,9283051946 → 3743639292 → 3743639296 → 3743639298 → 4590190142 → 3743639285 → 3743639283 → 3743639280 → 4590190141 → 3648703825 → 3648703726,508,8.466666666666667,5.858933333333334,4.656666666666666,2.0489333333333337,54.99999999999999,34.971098265895954
28,서대문소방서 북아현119안전센터,7257925078,7069047608,9282595679,126.9563562,37.5602839,126.9328206,37.5565685,95.15,0.0,95.15,9.49,69.45,1.59,40,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679,7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988 → 9282595681 → 9282595679,477,7.95,5.5014,6.36,3.9114000000000004,80.0,71.09826589595376
29,서대문소방서 북아현119안전센터,7257925078,9283051982,9283051988,126.9563562,37.5602839,126.931301,37.5571216,124.91,0.0,124.91,5.47,89.07,2.08,35,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940919 → 2451940901 → 7967031733 → 4591767518 → 8385791616 → 2961215633 → 2329648794 → 2330782622 → 9283051988,9283051982 → 9283051963 → 9283051958 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988,372,6.2,4.2904,4.12,2.2104,66.45161290322581,51.519671825470816
30,서대문소방서 북아현119안전센터,7257925078,9283138078,3648333526,126.9563562,37.5602839,126.9359689,37.5555142,89.96,0.0,89.96,8.72,65.59,1.5,36,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526,9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988 → 9282595681 → 9282595679 → 3648333526,416,6.933333333333334,4.797866666666666,5.433333333333334,3.297866666666666,78.36538461538461,68.7361049355269
31,서대문소방서 북아현119안전센터,7257925078,9283138058,4591816222,126.9563562,37.5602839,126.9422553,37.5566411,68.16,20.8,68.16,6.26,49.59,1.14,29,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222,9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988 → 9282595681 → 9282595679 → 3648333526 → 2329648772 → 3648333425 → 8482703424 → 1936511359 → 8478359173 → 2451940827 → 4591816222,524,8.733333333333333,6.043466666666665,7.593333333333333,4.903466666666666,86.94656488549619,81.13665445880952
32,서대문소방서 북아현119안전센터,7257925078,4591488789,8478359170,126.9563562,37.5602839,126.9553388,37.5572853,109.34,244.8,244.8,7.5,173.61,4.08,24,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 8478359170,4591488789 → 4591488586 → 4591488587 → 2329648814 → 436825413 → 436718711 → 11689066418 → 1936511359 → 8478359170,784,13.066666666666666,9.042133333333332,8.986666666666666,4.962133333333332,68.77551020408164,54.877904919193114
33,서대문소방서119구조대,3825310652,9283138064,2473261153,126.9347477,37.5716165,126.9400532,37.556027,445.23,57.2,445.23,10.08,314.69,7.42,57,3825310652 → 2532346015 → 1912549265 → 3825310381 → 6807582095 → 3825310361 → 436873059 → 3825310135 → 4590010867 → 4590010868 → 3825310056 → 3825310054 → 3785058070 → 2532403770 → 3825309970 → 3785058057 → 3785057948 → 3785057934 → 3825309611 → 4589998394 → 3825309343 → 3825309224 → 3825309165 → 3825309116 → 3825309131 → 3825309149 → 3825309136 → 3785057868 → 436855674 → 7773276140 → 7773276141 → 10977420639 → 3864845878 → 3864845873 → 2237153695 → 2237153694 → 2237153692 → 2473261136 → 2473261133 → 2473261141 → 2473262329 → 2473261153,9283138064 → 9283138063 → 9283138067 → 9283138081 → 11689066396 → 436718687 → 9468334143 → 9283051974 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 3309834990 → 3743689823 → 3743689822 → 2473261153,574,9.566666666666666,6.6201333333333325,2.1466666666666665,-0.7998666666666674,22.4390243902439,-12.082334696179343
34,서대문소방서 북아현119안전센터,7257925078,7069023714,9283138056,126.9563562,37.5602839,126.9347249,37.555781,151.89,147.8,151.89,14.49,110.67,2.53,56,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056,7069023714 → 3743639370 → 3743639361 → 3743639360 → 3743639333 → 3743639334 → 3743639353 → 3743639350 → 3743639349 → 4590204408 → 3743639342 → 4552468316 → 4552468315 → 3743639378 → 4590191568 → 4121393430 → 9283138094 → 9283138095 → 9283138073 → 9283138074 → 11080341315 → 11080341314 → 436718687 → 9283138070 → 9283138055 → 9283138056,300,5.0,3.46,2.47,0.9300000000000002,49.400000000000006,26.878612716763012
35,서대문소방서 북아현119안전센터,7257925078,9282595681,4591827921,126.9563562,37.5602839,126.9509546,37.5571508,50.52,44.3,50.52,3.53,36.42,0.84,22,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921,9282595681 → 9282595679 → 3648333526 → 2329648772 → 3648333425 → 8482703424 → 1936511359 → 8478359173 → 2451940827 → 4591816222 → 4591828305 → 4591832828 → 4591828308 → 3893042382 → 4591827921,598,9.966666666666667,6.896933333333333,9.126666666666667,6.056933333333333,91.57190635451505,87.82067392270962
36,서대문소방서 북아현119안전센터,7257925078,9301802435,9283138043,126.9563562,37.5602839,126.9265985,37.5587746,125.6,0.0,125.6,12.59,91.7,2.09,53,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043,9301802435 → 9301802434 → 9301802433 → 9282422519 → 9282595673 → 7069047603 → 7069047604 → 7069047605 → 7069047606 → 9283051982 → 9283051963 → 9283051958 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043,606,10.1,6.989199999999999,8.01,4.8991999999999996,79.3069306930693,70.09672065472444
37,마포소방서 119구조대,8477574118,3034284282,2775071304,126.9329263,37.5497833,126.9241206,37.5570212,148.23,191.3,191.3,6.23,135.78,3.19,20,8477574118 → 414685256 → 8477568355 → 6048920041 → 6048920038 → 4591702787 → 436874458 → 436859638 → 9379611610 → 2775071304,3034284282 → 3024393049 → 3139492465 → 3139492472 → 3139492438 → 4927966759 → 3139492445 → 1830388306 → 1800585176 → 2421606544 → 2775071304,267,4.45,3.0793999999999997,1.2600000000000002,-0.11060000000000025,28.31460674157304,-3.5916087549522717
38,서대문소방서 북아현119안전센터,7257925078,5863307791,2451940960,126.9563562,37.5602839,126.9646625,37.5632645,104.28,258.4,258.4,4.77,182.31,4.31,24,7257925078 → 2330771492 → 4591859926 → 4591816229 → 4591859931 → 4591859930 → 4591859937 → 4591859911 → 4591859902 → 4591859905 → 4591859891 → 2451940960,5863307791 → 4592872161 → 9814056504 → 4592872160 → 4592872158 → 4592872166 → 2451940953 → 2451940962 → 4591851787 → 4591851784 → 2451940974 → 4591859899 → 2451940960,545,9.083333333333334,6.285666666666667,4.773333333333334,1.9756666666666671,52.550458715596335,31.431298721960022
39,서대문소방서 북아현119안전센터,7257925078,9282595673,9283138043,126.9563562,37.5602839,126.92779,37.5584313,125.6,0.0,125.6,12.59,91.7,2.09,49,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043,9282595673 → 7069047603 → 7069047604 → 7069047605 → 7069047606 → 9283051982 → 9283051963 → 9283051958 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043,524,8.733333333333333,6.043466666666665,6.643333333333333,3.9534666666666656,76.06870229007635,65.41719984115078
40,서대문소방서 북아현119안전센터,7257925078,9301802435,9283138043,126.9563562,37.5602839,126.9265985,37.5587746,125.6,0.0,125.6,12.59,91.7,2.09,53,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043,9301802435 → 9301802434 → 9301802433 → 9282422519 → 9282595673 → 7069047603 → 7069047604 → 7069047605 → 7069047606 → 9283051982 → 9283051963 → 9283051958 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043,606,10.1,6.989199999999999,8.01,4.8991999999999996,79.3069306930693,70.09672065472444
41,서대문소방서 북아현119안전센터,7257925078,4591844486,4591845013,126.9563562,37.5602839,126.9575917,37.5573997,67.26,163.9,163.9,4.77,116.16,2.73,21,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827910 → 3893042387 → 4591845013,4591844486 → 4591844992 → 8154128184 → 2329648762 → 4591832845 → 4591832841 → 4591832837 → 4591832838 → 2451940839 → 4591845019 → 4591827911 → 4591845013,425,7.083333333333333,4.901666666666666,4.3533333333333335,2.1716666666666664,61.45882352941177,44.30465827949676
42,서대문소방서 북아현119안전센터,7257925078,9283051982,9283051988,126.9563562,37.5602839,126.931301,37.5571216,124.91,0.0,124.91,5.47,89.07,2.08,35,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940919 → 2451940901 → 7967031733 → 4591767518 → 8385791616 → 2961215633 → 2329648794 → 2330782622 → 9283051988,9283051982 → 9283051963 → 9283051958 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988,582,9.7,6.7124,7.619999999999999,4.6324,78.55670103092784,69.01257374411537
43,서대문소방서 북아현119안전센터,7257925078,9283138057,2451940827,126.9563562,37.5602839,126.9410794,37.5565192,73.35,0.0,73.35,6.46,53.29,1.22,30,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827,9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988 → 9282595681 → 9282595679 → 3648333526 → 2329648772 → 3648333425 → 8482703424 → 1936511359 → 8478359173 → 2451940827,212,3.533333333333333,2.4450666666666665,2.3133333333333335,1.2250666666666665,65.47169811320755,50.10360999018432
44,마포소방서 119구조대,8477574118,8477772806,7298467871,126.9329263,37.5497833,126.9461307,37.5567244,232.03,243.6,243.6,10.6,173.7,4.06,24,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716537 → 4591716541 → 2451940711 → 436805774 → 9946440068 → 436853677 → 8477807829 → 436835433 → 7298467871,8477772806 → 8477772809 → 2329648809 → 8548260203 → 3309834966 → 4591432394 → 4591432395 → 7298467871,300,5.0,3.46,0.9400000000000004,-0.5999999999999996,18.800000000000008,-17.341040462427735
45,서대문소방서 북아현119안전센터,7257925078,9282595681,4591827921,126.9563562,37.5602839,126.9509546,37.5571508,50.52,44.3,50.52,3.53,36.42,0.84,22,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921,9282595681 → 9282595679 → 3648333526 → 2329648772 → 3648333425 → 8482703424 → 1936511359 → 8478359173 → 2451940827 → 4591816222 → 4591828305 → 4591832828 → 4591828308 → 3893042382 → 4591827921,399,6.65,4.6018,5.8100000000000005,3.7618,87.36842105263159,81.74627319744448
46,서대문소방서 북아현119안전센터,7257925078,7068970634,4591827921,126.9563562,37.5602839,126.9592665,37.5572476,50.52,44.3,50.52,3.53,36.42,0.84,18,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921,7068970634 → 11689066418 → 1936511359 → 8478359173 → 2451940827 → 4591816222 → 4591828305 → 4591832828 → 4591828308 → 3893042382 → 4591827921,249,4.15,2.8718,3.3100000000000005,2.0318,79.75903614457832,70.75005223204958
47,서대문소방서 북아현119안전센터,7257925078,3648333425,4591827921,126.9563562,37.5602839,126.9553201,37.5574323,50.52,44.3,50.52,3.53,36.42,0.84,18,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921,3648333425 → 8482703424 → 1936511359 → 8478359173 → 2451940827 → 4591816222 → 4591828305 → 4591832828 → 4591828308 → 3893042382 → 4591827921,333,5.55,3.8406,4.71,3.0006,84.86486486486487,78.12841743477583
48,서대문소방서 북아현119안전센터,7257925078,9282595673,9283138043,126.9563562,37.5602839,126.92779,37.5584313,125.6,0.0,125.6,12.59,91.7,2.09,49,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043,9282595673 → 7069047603 → 7069047604 → 7069047605 → 7069047606 → 9283051982 → 9283051963 → 9283051958 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043,241,4.016666666666667,2.779533333333333,1.9266666666666667,0.6895333333333333,47.96680497925311,24.80752164631953
49,마포소방서 119구조대,8477574118,8477772806,7298467871,126.9329263,37.5497833,126.9461307,37.5567244,232.03,243.6,243.6,10.6,173.7,4.06,24,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 436805789 → 4591716533 → 4591716537 → 4591716541 → 2451940711 → 436805774 → 9946440068 → 436853677 → 8477807829 → 436835433 → 7298467871,8477772806 → 8477772809 → 2329648809 → 8548260203 → 3309834966 → 4591432394 → 4591432395 → 7298467871,582,9.7,6.7124,5.64,2.6524,58.14432989690722,39.51492759668673
50,공덕119안전센터,2330782485,5863307816,4593817590,126.9594634,37.5500041,126.9603834,37.5579158,54.32,117.7,117.7,1.54,82.85,1.96,14,2330782485 → 3352620587 → 8383046649 → 3352633633 → 4593817590,5863307816 → 5863307814 → 8383098864 → 4656545972 → 2329648966 → 2329648967 → 4656545971 → 4593791021 → 2451940779 → 4593817590,399,6.65,4.6018,4.69,2.6418,70.52631578947368,57.40797079403711
